ID,Fase,No_Layar,Requirement,Repo,Status,Backend_Java,Flutter_Windows,Flutter_Android,Offline,RBAC,Print_Export,Automated_Test,UAT,Evidence,Commit,Blocker
FND-001,P0,,Audit dua repo dan manifest input,Keduanya,DONE,,,,,,,,,docs/pos-inventory-sales/00-baseline.md,zishof ffc0b74,
FND-002,P1,,AppProductProfile dan entrypoint inventory_sales,zishof-platform,TESTED,,OK (build windows),OK (build apk flavor),,,,flutter test lulus,,docs/pos-inventory-sales/evidence/p1/,lihat commit P1 flutter,
FND-003,P1,,Android flavor inventorySales + signing,zishof-platform,BACKEND_DONE,,,OK (applicationId id.zishof.ebisnis.inventorysales),,,,,,docs/pos-inventory-sales/evidence/p1/,lihat commit P1 flutter,Keystore produksi belum tersedia (uat-required #11) -- release masih debug-sign
FND-004,P1,,Windows variant + installer unik,zishof-platform,BACKEND_DONE,,OK (exe+VERSIONINFO+iss AppId INVSL),,,,,,,docs/pos-inventory-sales/evidence/p1/,lihat commit P1 flutter,Ikon masih salinan logo eBisnis (uat-required #12)
FND-005,P1,,ApiEBisnis extension hook,AIS,BACKEND_DONE,OK (prosesAksiTambahan+dispatcher),,,,OK (gate si_ fail-closed),,mvn -o compile EXIT=0,,,AIS 1d7a82dc,
FND-006,P1,,EbisnisActorContextResolver fail-closed,AIS,BACKEND_DONE,OK,,,,OK,,mvn -o compile EXIT=0,,,AIS 1d7a82dc,Login E2E 3 role menunggu deploy server + akun uji (lihat Blocker FND-008)
FND-007,P1,,Seed role Pemilik Sales/Inventory dan Sales Keliling,AIS,BACKEND_DONE,OK (seed idempoten di ApiEBisnis.init),,,,OK (ebisnisMenu eksplisit),,,,,AIS 1d7a82dc,Eksekusi seed nyata terjadi saat servlet dimuat pasca-deploy
FND-008,P1,,Menu/permission registry lintas server-Flutter,Keduanya,BACKEND_DONE,OK (16 kunci+konfigurasi aktor),OK (registry profil+beranda),OK,,OK,,analyze 0 error,,docs/pos-inventory-sales/evidence/p1/,AIS 1d7a82dc,Verifikasi landing 3 role menunggu server ter-deploy (restart Tomcat = wewenang operasional user)
FND-009,P7,,Implementasi core_sync typed outbox,zishof-platform,NOT_STARTED,,,,,,,,,,,
FND-010,P7,,Upgrade CoreDb schema Nota Sales,zishof-platform,NOT_STARTED,,,,,,,,,,,
SCR-01,P2,1,Data Supplier -> Master Supplier,Keduanya,BACKEND_DONE,si_supplier_* (AIS c1644750),master_supplier_screen (761c412..f29e93f),sama (satu codebase Flutter),cache offline menyusul P7,ctx.bolehAksi+bolehAksiIs,cetak disabled beralasan (P2-F),analyze 0 error; test smoke lulus,Menunggu deploy server,docs/pos-inventory-sales/evidence/p2/,AIS c1644750 + zishof f29e93f,Saldo hutang null s.d. ledger AP P3
SCR-02,P2,2,Membuka Daftar Supplier -> Daftar Supplier,Keduanya,BACKEND_DONE,si_supplier_list,daftar search-first+sort+filter di layar yang sama,sama,idem SCR-01,OK,idem,idem,idem,docs/pos-inventory-sales/evidence/p2/,idem SCR-01,
SCR-03,P2,3,Menutup Daftar Supplier -> Detail Supplier,Keduanya,BACKEND_DONE,si_supplier_detail,detail sheet tanpa efek data + audit info,sama,idem,OK,idem,idem,idem,docs/pos-inventory-sales/evidence/p2/,idem SCR-01,
SCR-04,P2,4,Data Customer -> Master Customer,Keduanya,BACKEND_DONE,si_customer_* + saldo piutang ledger,master_customer_screen,sama,idem,OK,idem,idem,idem,docs/pos-inventory-sales/evidence/p2/,idem SCR-01,
SCR-05,P2,5,Membuka Daftar Customer -> Daftar Customer,Keduanya,BACKEND_DONE,si_customer_list,daftar search-first+filter profil,sama,idem,OK,idem,idem,idem,docs/pos-inventory-sales/evidence/p2/,idem SCR-01,
SCR-06,P2,6,Menutup Daftar Customer -> Detail Customer,Keduanya,BACKEND_DONE,si_customer_detail,detail sheet + saldo piutang,sama,idem,OK,idem,idem,idem,docs/pos-inventory-sales/evidence/p2/,idem SCR-01,
SCR-07,P2,7,Data Sales atau Penjual Keliling -> Master Sales,Keduanya,BACKEND_DONE,si_sales_* (entity P1),master_sales_screen (akun 1:1; jumlah customer),sama,idem,OK,idem,idem,idem,docs/pos-inventory-sales/evidence/p2/,idem SCR-01,No.Perkiraan tanpa validasi COA (uat-required #1)
SCR-08,P2,8,Data Stok Barang -> Persediaan & Kartu Stok,Keduanya,BACKEND_DONE,si_inventory_balance/ledger (AIS b74c36f7),persediaan_screen + kartu stok (zishof cc8083c),sama,idem,OK,cetak disabled beralasan,idem,Rekonsiliasi angka vs ledger perlu data server,docs/pos-inventory-sales/evidence/p2/,AIS b74c36f7 + zishof cc8083c,
SCR-09,P2,9,Laporan Opname -> Stok Opname,Keduanya,BACKEND_DONE,reuse so_* existing,reuse StokOpnameScreen existing (menu stokopname aktif utk Pemilik),sama,cache existing,role seed,Excel/PDF SUDAH ada dari fitur sebelumnya,existing,Perlu UAT varian,docs/pos-inventory-sales/evidence/p2/,reuse existing,Filter stok-mobil-sales menyusul P5
SCR-10,P2,10,Mencetak Laporan Opname -> Cetak Opname,Keduanya,BACKEND_DONE,reuse so_ekspor/laporan existing,reuse tombol Download/Upload Excel + Cetak PDF existing,sama,idem,idem,OK (existing),existing,idem,docs/pos-inventory-sales/evidence/p2/,reuse existing,Snapshot/versi reprint menyusul
SCR-11,P2,11,Harga Beli dan Harga Jual -> Analisis Harga,Keduanya,BACKEND_DONE,si_price_analysis (AIS 431c74c6),harga_screen tab Analisis (zishof 0b66b76),sama,menyusul P7,OK,cetak menyusul,analyze 0 error,Menunggu deploy,docs/pos-inventory-sales/evidence/p2/,AIS 431c74c6 + zishof 0b66b76,
SCR-12,P2,12,Parameter Laporan Harga,Keduanya,AUDITED,filter di si_price_analysis tersedia,parameter filter di tab Analisis; preview cetak menyusul,sama,,OK,BELUM (preview cetak),,,docs/pos-inventory-sales/evidence/p2/,,Preview/cetak PDF harga menyusul fase laporan
